Date,SP500,SP500_%Change
1995/1/3,459.11,
1995/1/4,460.71,0.348500359
1995/1/5,460.34,-0.080310825
1995/1/6,460.68,0.073858452
1995/1/9,460.83,0.032560563
1995/1/10,461.68,0.184449797
1995/1/11,461.66,-0.004332005
1995/1/12,461.64,-0.004332193
1995/1/13,465.97,0.937960315
1995/1/16,469.38,0.731806769
1995/1/17,470.05,0.142741489
1995/1/18,469.72,-0.070205297
1995/1/19,466.95,-0.589713021
1995/1/20,464.78,-0.46471785
1995/1/23,465.81,0.221610224
1995/1/24,465.86,0.01073399
1995/1/25,467.44,0.339157687
1995/1/26,468.32,0.188259456
1995/1/27,470.39,0.442005466
1995/1/30,468.51,-0.39966836
1995/1/31,470.42,0.407675396
1995/2/1,470.4,-0.00425152
1995/2/2,472.78,0.505952381
1995/2/3,478.64,1.239477135
1995/2/6,481.14,0.522313221
1995/2/7,480.81,-0.068587106
1995/2/8,481.19,0.079033298
1995/2/9,480.19,-0.207818118
1995/2/10,481.46,0.264478644
1995/2/13,481.65,0.039463299
1995/2/14,482.55,0.186857677
1995/2/15,484.54,0.412392498
1995/2/16,485.22,0.140339291
1995/2/17,481.97,-0.669799266
1995/2/21,482.74,0.159760981
1995/2/22,485.07,0.482661474
1995/2/23,486.91,0.379326695
1995/2/24,488.11,0.246452116
1995/2/27,483.81,-0.880948966
1995/2/28,487.39,0.739959902
1995/3/1,485.65,-0.357003632
1995/3/2,485.13,-0.107072995
1995/3/3,485.42,0.059777792
1995/3/6,485.63,0.043261506
1995/3/7,482.12,-0.722772481
1995/3/8,483.14,0.211565585
1995/3/9,483.16,0.004139587
1995/3/10,489.57,1.326682672
1995/3/13,490.05,0.098045223
1995/3/14,492.89,0.579532701
1995/3/15,491.88,-0.204913875
1995/3/16,495.41,0.717654713
1995/3/17,495.52,0.022203831
1995/3/20,496.15,0.127139167
1995/3/21,495.07,-0.217676106
1995/3/22,495.67,0.121194983
1995/3/23,495.95,0.056489196
1995/3/24,500.97,1.01219881
1995/3/27,503.2,0.445136435
1995/3/28,503.9,0.139109698
1995/3/29,503.12,-0.154792618
1995/3/30,502.22,-0.178883765
1995/3/31,500.71,-0.300665047
1995/4/3,501.85,0.227676699
1995/4/4,505.24,0.675500648
1995/4/5,505.57,0.065315494
1995/4/6,506.08,0.100876239
1995/4/7,506.42,0.067183054
1995/4/10,507.01,0.116504088
1995/4/11,505.53,-0.291907457
1995/4/12,507.17,0.324412003
1995/4/13,509.23,0.406175444
1995/4/17,506.13,-0.608762249
1995/4/18,505.37,-0.15015905
1995/4/19,504.92,-0.089043671
1995/4/20,505.29,0.073278935
1995/4/21,508.49,0.633299689
1995/4/24,512.89,0.865307086
1995/4/25,512.1,-0.154029129
1995/4/26,512.66,0.109353642
1995/4/27,513.55,0.173604338
1995/4/28,514.71,0.225878688
1995/5/1,514.26,-0.087427872
1995/5/2,514.86,0.1166725
1995/5/3,520.48,1.09155887
1995/5/4,520.54,0.01152782
1995/5/5,520.12,-0.080685442
1995/5/8,523.96,0.738291164
1995/5/9,523.56,-0.076341705
1995/5/10,524.36,0.152800061
1995/5/11,524.37,0.001907087
1995/5/12,525.55,0.225031943
1995/5/15,527.74,0.416706308
1995/5/16,528.19,0.085269261
1995/5/17,527.07,-0.212044908
1995/5/18,519.58,-1.421063616
1995/5/19,519.19,-0.075060626
1995/5/22,523.65,0.859030413
1995/5/23,528.59,0.943378211
1995/5/24,528.61,0.003783651
1995/5/25,528.59,-0.003783508
1995/5/26,523.65,-0.934561759
1995/5/30,523.58,-0.013367707
1995/5/31,533.4,1.875549104
1995/6/1,533.49,0.016872891
1995/6/2,532.51,-0.183696039
1995/6/5,535.6,0.580270793
1995/6/6,535.55,-0.009335325
1995/6/7,533.13,-0.451871907
1995/6/8,532.35,-0.146305779
1995/6/9,527.94,-0.828402367
1995/6/12,530.88,0.556881464
1995/6/13,536.05,0.973854732
1995/6/14,536.47,0.0783509
1995/6/15,537.12,0.121162414
1995/6/16,539.83,0.504542746
1995/6/19,545.22,0.998462479
1995/6/20,544.98,-0.044018928
1995/6/21,543.98,-0.183492972
1995/6/22,551.07,1.303356741
1995/6/23,549.71,-0.246792603
1995/6/26,544.13,-1.015080679
1995/6/27,542.43,-0.31242534
1995/6/28,544.73,0.424017846
1995/6/29,543.87,-0.157876379
1995/6/30,544.75,0.161803372
1995/7/3,547.09,0.429554842
1995/7/5,547.26,0.031073498
1995/7/6,553.99,1.229762818
1995/7/7,556.37,0.429610643
1995/7/10,557.19,0.147383935
1995/7/11,554.78,-0.432527504
1995/7/12,560.89,1.101337467
1995/7/13,561,0.019611689
1995/7/14,559.89,-0.197860963
1995/7/17,562.72,0.505456429
1995/7/18,558.46,-0.757037248
1995/7/19,550.98,-1.339397629
1995/7/20,553.54,0.464626665
1995/7/21,553.62,0.014452433
1995/7/24,556.63,0.543694231
1995/7/25,561.1,0.803046907
1995/7/26,561.61,0.090892889
1995/7/27,565.22,0.642794822
1995/7/28,562.93,-0.405151976
1995/7/31,562.06,-0.154548523
1995/8/1,559.64,-0.430559015
1995/8/2,558.8,-0.150096491
1995/8/3,558.75,-0.008947745
1995/8/4,558.94,0.034004474
1995/8/7,560.03,0.195011987
1995/8/8,560.39,0.064282271
1995/8/9,559.71,-0.121344064
1995/8/10,557.45,-0.403780529
1995/8/11,555.11,-0.419768589
1995/8/14,559.74,0.834068923
1995/8/15,558.57,-0.209025619
1995/8/16,559.97,0.250640027
1995/8/17,559.04,-0.166080326
1995/8/18,559.21,0.030409273
1995/8/21,558.11,-0.196706067
1995/8/22,559.52,0.252638369
1995/8/23,557.14,-0.425364598
1995/8/24,557.46,0.057436192
1995/8/25,560.1,0.473576579
1995/8/28,559.05,-0.187466524
1995/8/29,560,0.169931133
1995/8/30,560.92,0.164285714
1995/8/31,561.88,0.171147401
1995/9/1,563.84,0.348828931
1995/9/5,569.17,0.945303632
1995/9/6,570.17,0.175694432
1995/9/7,570.29,0.021046355
1995/9/8,572.68,0.419085027
1995/9/11,573.91,0.214779633
1995/9/12,576.51,0.453032705
1995/9/13,578.77,0.392014015
